,type,affiliation
1636,institute,"""Lymphoid Malignancies Branch, National Cancer Institute, National Institutes of Health, Bethesda, MD 20892, USA."""
1637,university,"""Center for Proteomics and Metabolomics, Leiden University Medical Center, 2333 ZA Leiden, The Netherlands."""
1638,hospital,"""Department of Neurology, Affiliated Huaqiao Hospital, Jinan University, Guangzhou, China."""
1639,institute,"""Institute for Chemical Immunology (ICI), Utrecht, the Netherlands."""
1640,institute,"""Structural Immunology Section, Laboratory of Immunogenetics, National Institute of Allergy and Infectious Diseases (NIAID), NIH, Rockville, MD 20852; psun@niaid.nih.gov."""
1641,private,"""Cytel Corporation, San Diego, California 92121, USA."""
1642,university,"""Institute of Infection and Immunity, Cardiff University School of Medicine, Heath Park, Cardiff CF14 4XN, Wales, UK."""
1643,university,"""Division Laboratories, Pharmacy and Biomedical Genetics, Department of Genetics, University Medical Center Utrecht, University of Utrecht, Utrecht, Netherlands."""
1644,private,"""Proteomics Unit, Spanish National Biotechnology Centre (CSIC), Darwin 3, 28049 Madrid, Spain."""
1645,institute,"""La Jolla Institute of Immunology, La Jolla, California."""
1646,university,"""Cluster of Excellence iFIT (EXC 2180) &quot;Image-Guided and Functionally Instructed Tumor Therapies&quot;, University of T\xc3\xbcbingen, T\xc3\xbcbingen, Germany."""
1647,university,"""Department of Chemistry and Biochemistry and the Harper Cancer Research Institute, University of Notre Dame, Notre Dame, IN, USA. Electronic address: brian-baker@nd.edu."""
1648,institute,"""Division of Translational Immunology and Biodefense, La Jolla Institute for Allergy and Immunology, San Diego, CA 92121, USA."""
1649,university,"""Rheumatology Unit, Department of Medical Sciences and Public Health, University and AOU of Cagliari, Monserrato, 09042 Cagliari, Italy. cauli@unica.it."""
1650,university,"""Cancer Research U.K. Viral Oncology Group, The Wolfson Institute for Biomedical Research, University College London, United Kingdom."""
1651,university,"""1] Institute for Research in Immunology and Cancer, Universit\xc3\xa9 de Montr\xc3\xa9al, P.O. Box 6128, Downtown Station, Montreal, Quebec, Canada H3C 3J7 [2] Department of Medicine, Universit\xc3\xa9 de Montr\xc3\xa9al, P.O. Box 6128, Downtown Station, Montreal, Quebec, Canada H3C 3J7 [3]."""
1652,university,"""Electrical and Computer Engineering, University of California, San Diego, CA, United States."""
1653,university,"""Department of Chemistry and Biochemistry, University of Notre Dame, Notre Dame, IN 46556; brian-baker@nd.edu."""
1654,institute,"""Sunnybrook Research Institute, Toronto, ON, Canada. jczp@sri.utoronto.ca ejadams@uchicago.edu."""
1655,university,"""Department of Immunology, Institute of Cell Biology, University of T\xc3\xbcbingen , T\xc3\xbcbingen, Germany."""
1656,university,"""Department of Virology, Beckman Research Institute of the City of Hope, Duarte, CA 91010, USA."""
1657,university,"""Faculty of Science, University of Zurich, 8057 Z\xc3\xbcrich, Switzerland."""
1658,private,"""Molecular Pharmacology Program, SKI, Memorial Sloan Kettering Cancer Center, New York, NY, USA."""
1659,university,"""Department of Hematology, and."""
1660,university,"""Institute of Arboviruses, School of Basic Medical Sciences, Wenzhou Medical University, Wenzhou, China."""
1661,hospital,"""Shenzhen Key Laboratory of Pathogen and Immunity, Shenzhen Third People&#x27;s Hospital, Shenzhen, China."""
1662,university,"""The Protein Crystallography Unit, Department of Biochemistry and Molecular Biology, School of Biomedical Sciences, Monash University, Clayton, Victoria, Australia."""
1663,university,"""Institut National de la Sant\xc3\xa9 et de la Recherche M\xc3\xa9dicale U561, H\xc3\xb4pital Cochin-Saint Vincent de Paul, Universit\xc3\xa9 Paris V, 75014 Paris, France."""
1664,university,"""Department of Pathology, University of Utah, Salt Lake City, UT 84112, USA."""
1665,private,"""EpiVax, Inc., Providence, RI 02903, USA."""
1666,university,"""Department of Proteomics and Signal Transduction, Max Planck Institute of Biochemistry, Am Klopferspitz 18, Martinsried 82152, Germany."""
1667,university,"""Department of Microbiology, Hyogo Medical University, Hyogo, Japan. hi-ogura@hyo-med.ac.jp."""
1668,institute,"""Centre for Immunology of Infectious Diseases and Vaccines, National Institute for Public Health and the Environment, Bilthoven, The Netherlands; Institute for Translational Vaccinology (Intravacc), Bilthoven, The Netherlands."""
1669,university,"""Department of Molecular and Cellular Biology, Harvard University, Howard Hughes Medical Institute, Cambridge, Massachusetts 02138, USA. ding@crystal.harvard.edu"""
1670,university,"""Department of Infection Control and Prevention, Hyogo Medical University, Hyogo, Japan."""
1671,university,"""International Research Center of Medical Sciences (IRCMS), Kumamoto University, Kumamoto 860-0811, Japan; INSERM, Unit\xc3\xa9 Mixte de Recherche 1135, Sorbonne Universit\xc3\xa9s, Universit\xc3\xa9 Pierre et Marie Curie, Universit\xc3\xa9 Paris 06, Centre d&#x27;Immunologie et des Maladies Infectieuses-Paris, 75013 Paris, France."""
1672,private,"""Biotechnology Division, Defence Research and Development Establishment, Gwalior 474002, India."""
1673,institute,"""Structural Immunology Section, Laboratory of Immunogenetics, NIAID, National Institutes of Health, Rockville, Maryland 20852."""
1674,university,"""Department of Hematology and Oncology, Nagoya University Graduate School of Medicine, Nagoya, Japan."""
1675,university,"""Department of Biochemistry and Molecular Biology, Harvard University, Cambridge, Massachusetts 02138."""
1676,university,"""University of Hawaii at Manoa, Department of Chemistry, 2545 McCarthy Mall, Honolulu, HI 96822-2275, USA."""
1677,private,"""Immunocore, Ltd., Abingdon, Oxfordshire OX14 4RY, United Kingdom; and Stephen.Harper@immunocore.com bent.jakobsen@immunocore.com."""
1678,hospital,"""Immunology Laboratory Willem-Alexander Children&#x27;s Hospital, Leiden University Medical Center, Leiden, Netherlands."""
1679,institute,"""Surgery Branch, National Cancer Institute, National Institutes of Health, Bethesda, MD 20892, USA."""
1680,university,"""Graduate Program in Immunology, Stanford University School of Medicine, Stanford, CA 94305, USA."""
1681,hospital,"""Nuffield Department of Medicine Research Building, Nuffield Department of Medicine, University of Oxford, Roosevelt Drive, Oxford OX3 7FZ, UK; Department of Laboratory Medicine, The First Affiliated Hospital, China Medical University, Shenyang, China."""
1682,university,"""Department of Chemical and Biomolecular Engineering, Vanderbilt University, Nashville, TN, USA."""
1683,private,"""Immunocore, Limited, 57c Milton Park, Abingdon, Oxon, OX14 4RX, UK."""
1684,university,"""Institute for Transfusion Medicine, Hannover Medical School, 30625 Hannover, Germany. bade-doeding.christina@mh-hannover.de"""
1685,university,"""Structural Genomics Consortium, Nuffield Department of Clinical Medicine, University of Oxford, OX3 7DQ Oxford, United Kingdom."""
1686,university,"""Division of Basic Research, University of Pittsburgh Cancer Institute, Pittsburgh, PA 15213, USA."""
1687,hospital,"""State Engineering Laboratory of Medical Key Technologies Application of Synthetic Biology, Shenzhen Second People&#x27;s Hospital, The First Affiliated Hospital of Shenzhen University, Shenzhen, China."""
1688,hospital,"""Geneva University Hospital, Geneva, Switzerland."""
1689,private,"""D\xc3\xa9partement Endocrinologie, M\xc3\xa9tabolisme et Diab\xc3\xa8te, Equipe Immunologie des Diab\xc3\xa8tes, INSERM U1016, 75014, Paris, France."""
1690,university,"""Australian Research Council Centre of Excellence for Advanced Molecular Imaging, Monash University, Clayton, VIC, Australia."""
1691,hospital,"""Department of Pathology, Massachusetts General Hospital, MA 02115, USA."""
1692,hospital,"""Molecular Immunology Group, Institute of Molecular Medicine, Nuffield Department of Medicine, University of Oxford, John Radcliffe Hospital, Oxford OX3 9DU, United Kingdom. Mha3@cdc.gov"""
1693,university,"""Integrated Research and Treatment Center (IFB-Tx), Hannover Medical School, Carl-Neuberg-Strasse 1, 30625, Hannover, Germany. eiz-vesper.britta@mh-hannover.de."""
1694,university,"""Beijing Institutes of Life Science, University of Chinese Academy of Sciences, Beijing, China."""
1695,university,"""Emory University School of Medicine, Atlanta, GA 30322, USA."""
1696,hospital,"""Department of Oncology, University Hospital of Lausanne, 1011 Lausanne, Switzerland; Ludwig Center for Cancer Research of the University of Lausanne, 1066 Epalinges, Switzerland; and."""
1697,university,"""School of Immunity and Infection, University of Birmingham, Edgbaston, Birmingham B15 2TT, UK."""
1698,institute,"""Immunology Division, Garvan Institute of Medical Research, Darlinghurst, NSW, Australia."""
1699,private,"""Pharmexa-Epimmune Inc., San Diego, California, USA. jalexander@paxvax.com"""
1700,institute,"""Cancer Immunology Program, Peter McCallum Cancer Institute, Melbourne, 3002 Australia."""
1701,university,"""Department of Hematology and Oncology, University of T\xc3\xbcbingen, Otfried-M\xc3\xbcller-Str. 10, 72076, T\xc3\xbcbingen, Germany."""
1702,university,"""Office of Indigenous Engagement, CQUniversity, Townsvillle, QLD, Australia."""
1703,university,"""Department of Immunology, Mayo Foundation, Rochester, Minnesota 55905, USA."""
1704,university,"""Institute of Immunology PLA &amp; Department of Immunology, Army Medical University (Third Military Medical University), 400038, Chongqing, China. liwang118@icloud.com."""
1705,university,"""Institute for Molecular Engineering and Department of Biochemistry &amp; Molecular Biology, University of Chicago, Chicago, 60637, IL, USA."""
1706,university,"""Institut f\xc3\xbcr Immungenetik, Universit\xc3\xa4tsklinikum Charit\xc3\xa9, Humboldt-Universit\xc3\xa4t zu Berlin, Spandauer Damm 130, 14050 Berlin, Germany."""
1707,university,"""Department of Medicine, Johns Hopkins University School of Medicine, Baltimore, Maryland 21287."""
1708,institute,"""Bioanalytical Mass Spectrometry Group, Max-Planck-Institute for Biophysical Chemistry, Goettingen, Germany."""
1709,institute,"""Program in Immunology, Clinical Research Division, Fred Hutchinson Cancer Research Center, Seattle, WA 98109, USA."""
1710,university,"""Department of Immunology, The Weizmann Institute of Science, Rehovot 76100, Israel."""
1711,university,"""Infection and Immunity Program, Monash University, Clayton, VIC 3800, Australia; Department of Biochemistry and Molecular Biology, Biomedicine Discovery Institute, Monash University, Clayton, VIC 3800, Australia; Australian Research Council Centre of Excellence for Advanced Molecular Imaging, Monash University, Clayton, VIC 3800, Australia pcd@unimelb.edu.au stephanie.gras@monash.edu kkedz@unimelb.edu.au."""
1712,hospital,"""Tumour Immunology Unit, Weatherall Institute of Molecular Medicine, University of Oxford, John Radcliffe Hospital, Oxford OX3 9DS, UK."""
1713,university,"""State Key Laboratory of Virology, Hubei Key Laboratory of Cell Homeostasis, Department of Biochemistry and Molecular Biology, College of Life Sciences, Wuhan University, Wuhan, Hubei, China. Electronic address: yinlei@whu.edu.cn."""
1714,private,"""Immunotope, Inc., Doylestown, PA, USA."""
1715,university,"""From the Infection and Immunity Program and Department of Biochemistry and Molecular Biology, Biomedicine Discovery Institute, Monash University, Clayton 3800, Victoria, Australia, Julian.vivian@monash.edu."""
1716,university,"""Center for Proteomics and Metabolomics, Leiden University Medical Center, Leiden, Netherlands."""
1717,university,"""Institute for Cell Biology, Department of Immunology, University of T\xc3\xbcbingen, T\xc3\xbcbingen 72076, Germany; DKFZ Partner Site T\xc3\xbcbingen, German Cancer Consortium (DKTK), T\xc3\xbcbingen 72076, Germany."""
1718,institute,"""Institute for Translational Vaccinology, Bilthoven, Netherlands."""
1719,institute,"""Bloomberg~Kimmel Institute for Cancer Immunotherapy, Sidney Kimmel Comprehensive Cancer Center, Baltimore, MD 21287, USA."""
1720,university,"""3Department of Global Health and Infection, Brighton and Sussex Medical School, University of Sussex, Brighton, BN1 9PX UK."""
1721,university,"""Department of Genetics, Washington University School of Medicine, St. Louis, MO 63110."""
1722,university,"""Department of Gastroenterology and Hepatology, Erasmus MC University Medical Center Rotterdam, Rotterdam, the Netherlands."""
1723,university,"""Department of Obstetrics and Gynecology, Weill Cornell Medical College, New York, NY, USA."""
1724,university,"""The Protein Crystallography Unit, Department of Biochemistry and Molecular Biology, School of Biomedical Sciences, Monash University, Victoria 3800, Australia."""
1725,university,"""Department of Medicine III, Hematology and Oncology, Johannes Gutenberg-University of Mainz, Langenbeckstrasse 1, D-55101 Mainz, Germany."""
1726,university,"""From the Department of Microbiology and the Research School of Biology, Australian National University, Canberra, Australian Capital Territory 0200, Australia, and."""
1727,university,"""Department of Biochemistry and Molecular Biology and Infection and Immunity Program, Monash Biomedicine Discovery Institute, Monash University, Clayton, Victoria, Australia. anthony.purcell@monash.edu Andreas.behren@onjcri.org.au ralf.schittenhelm@monash.edu."""
1728,private,"""FRE 2736 CNRS / bioM\xc3\xa9rieux, IFR 128 BioSciences Lyon-Gerland, Lyon, France."""
1729,university,"""Beirne Carter Center for Immunology Research, University of Virginia School of Medicine, Charlottesville 22908."""
1730,hospital,"""Institute for Genomic Medicine, Nationwide Children&#x27;s Hospital, Ohio State University College of Medicine, Columbus, OH 43205."""
1731,university,"""Department of Neurological Surgery, University of California, San Francisco, San Francisco, CA."""
1732,hospital,"""Kenema Government Hospital, Kenema, Sierra Leone."""
1733,institute,"""Virus/Oncology Research Unit, Korea Research Institute of Bioscience and Biotechnology, KIST, Yusong, Taejon, South Korea."""
1734,university,"""Department of Clinical Chemistry and Haematology, University Medical Center Utrecht, 3584 CX Utrecht, the Netherlands Department of Haematology, University Medical Center Utrecht, 3584 CX Utrecht, the Netherlands;"""
1735,university,"""Department of Biochemistry and Molecular Biology, Monash University, Clayton, VIC 3800, Australia; Department of Biochemistry and Genetics, La Trobe Institute for Molecular Science, La Trobe University, Melbourne, VIC 3086, Australia."""
1736,university,"""QIMR Berghofer Medical Research Institute, Brisbane, Queensland 4029, Australia; School of Medicine, University of Queensland, Brisbane, Queensland 4072, Australia;"""
1737,university,"""Harper Cancer Research Institute, University of Notre Dame, Notre Dame, IN, USA."""
1738,private,"""Program for Drug Discovery and Medical Technology Platforms (DMP), RIKEN, Yokohama, Japan. shin-ichiro.fujii@riken.jp."""
1739,university,"""\xc2\xa7Instituto de Inmunolog\xc3\xada, Facultad de Medicina, Universidad Austral del Chile, and Escuela de Tecnolog\xc3\xada M\xc3\xa9dica, Facultad de Salud, Universidad Santo Tom\xc3\xa1s, Valdivia, Chile."""
1740,private,"""Physiology Biophysics and Systems Biology Program, Weill Cornell Medicine, New York, NY."""
1741,university,"""James Cook University, Cairns, Queensland 4870, Australia, and."""
1742,hospital,"""Department of Research and Education, Taipei Veterans General Hospital, Taipei, Taiwan, Republic of China."""
1743,university,"""Department of Biochemistry and Molecular Biology, Monash University, Clayton, Australia."""
1744,institute,"""QIMR Berghofer Medical Research Institute, Centre for Immunotherapy and Vaccine Development, Brisbane 4029 QLD Australia."""
1745,university,"""Division of Transplantation Medicine, South Carolina Cancer Center, Palmetto Health Alliance and University of South Carolina School of Medicine, Columbia, SC, USA."""
1746,university,"""Institut f\xc3\xbcr Immungenetik, Charit\xc3\xa9-Universit\xc3\xa4tsmedizin Berlin, Campus Benjamin Franklin, Freie Universit\xc3\xa4t Berlin, Thielallee 73, Berlin 14195, Germany."""
1747,university,"""State Key Laboratory of Esophageal Cancer Prevention &amp; Treatment, Zhengzhou University, Zhengzhou 450052, China."""
1748,university,"""Department of Life Sciences and Chemistry, Jacobs University Bremen, Bremen, Germany."""
1749,hospital,"""Department of Integrated Chinse and Western Medicine, Affiliated Cancer Hospital of Zhengzhou University and Henan Cancer Hospital, Zhengzhou, 450008, China."""
1750,university,"""the Department of Biochemistry and Molecular Biology, Bio21 Molecular Science and Biotechnology Institute, University of Melbourne, Parkville, Victoria 3010, Australia."""
1751,institute,"""German Cancer Consortium (DKTK), German Cancer Research Center, Heidelberg, Germany."""
1752,university,"""Department of Medicine, University of California, San Diego, La Jolla, CA, USA."""
1753,university,"""Henan Key Laboratory of Bioactive Macromolecules, Zhengzhou University, Zhengzhou, 450001, China. yahongwu@zzu.edu.cn."""
1754,institute,"""The Ella Lemelbaum Institute for Melanoma, Chaim Sheba Medical Center, Tel Hashomer, Israel."""
1755,hospital,"""Department of Hematology, Peking University First Hospital, Beijing, China."""
1756,university,"""Departamento de Bioqu\xc3\xadmica y Biolog\xc3\xada Molecular, Facultad de Farmacia, Universidade de Santiago de Compostela, Santiago de Compostela, Spain."""
1757,university,"""Department of Microbiology and Cell Biology, Indian Institute of Science, Bangalore 560012, India."""
1758,university,"""Department of Biology, The Hong Kong University of Science and Technology, Clear Water Bay, Kowloon, Hong Kong SAR, China."""
1759,private,"""Division of Infectious Disease, Key Laboratory of Surveillance and Early Warning on Infectious Disease, Chinese Center for Disease Control and Prevention."""
1760,university,"""Department of Pathology, Immunology and Laboratory Medicine, University of Florida College of Medicine, Gainesville, FL 32610, USA. ostroda@pathology.ufl.edu."""
1761,university,"""Department of Pathology, Microbiology and Immunology, Vanderbilt University Medical Centre, Nashville, TN, USA. sebastian.joyce@vumc.org."""
1762,hospital,"""Nuffield Department of Medicine, John Radcliffe Hospital, Oxford, UK."""
1763,private,"""Facility for Biotechnology Resources, Center for Biologics Evaluation and Research, US Food and Drug Administration, Silver Spring, MD 20993, USA."""
1764,university,"""3P5 proteom&#x27;IC facility, Universit\xc3\xa9 de Paris, Institut Cochin, INSERM U1016, CNRS-UMR 8104, Paris, France."""
1765,university,"""Department of Biochemistry and Genetics, La Trobe Institute of Molecular Science, La Trobe University, Bundoora, 3084, VIC, Australia."""
1766,university,"""Department of Neurosurgery, Johns Hopkins University School of Medicine, Baltimore, MD, USA."""
1767,university,"""School of Life Sciences, Zhengzhou University, Zhengzhou, 450001, China. gaoyf29@mail.sysu.edu.cn."""
1768,university,"""Department of Hematology, School of Medicine, Fujita Health University, Toyoake, Japan."""
1769,institute,"""Division of Biochemistry, The Netherlands Cancer Institute, Plesmanlaan 121, 1066 CX, Amsterdam, The Netherlands."""
1770,university,"""Section for Immunology and Vaccinology, National Veterinary Institute, Technical University of Denmark, Copenhagen, Denmark."""
1771,university,"""Department of Immunology, Imperial College London, London, UK."""
1772,university,"""Department of Oncology, Johns Hopkins University School of Medicine, Baltimore, Maryland 21287 gabelli@jhmi.edu."""
1773,university,"""Anthony Nolan Research Institute, The Royal Free and University College Medical School, London, United Kingdom."""
1774,university,"""Institute of Neuroscience and Translational Medicine, Zhoukou Normal University, Zhoukou, People&#x27;s Republic of China."""
1775,hospital,"""Jiangsu Province Key Laboratory of Critical Care Medicine, Department of Critical Care Medicine, Zhongda Hospital, Medical School of Southeast University, Nanjing, 210009, Jiangsu, China. chuanlaishen@seu.edu.cn."""
1776,private,"""Laboratory of Clinical and Experimental Endocrinology, KU Leuven, Leuven, Belgium."""
1777,university,"""Center for Virology, Medical University of Vienna, Vienna, Austria."""
1778,university,"""Center for Biological Sequence Analysis, BioCentrum-DTU, Technical University of Denmark, Lyngby, Denmark."""
1779,hospital,"""Cancer Immunobiology, Olivia Newton-John Cancer Research Institute, Austin Hospital, Heidelberg, Victoria, Australia."""
1780,institute,"""Institut National de la Sante et de la Recherche Medicale Unite 396, Institut Biomedical des Cordeliers, Paris, France."""
1781,private,"""Early Drug Development Service, Memorial Sloan Kettering Cancer Center, New York, NY, USA."""
1782,private,"""Innovative Targeting Solutions, Vancouver, BC, Canada."""
1783,university,"""Department of Biochemistry, University of Illinois, 600 S. Matthews Ave., Urbana, IL 61801, USA."""
1784,university,"""Department of Infectious Diseases, Leiden University Medical Center, Leiden 2333 ZA, The Netherlands. ageluk@lumc.nl"""
1785,private,"""MyeloPro Diagnostics and Research, Vienna, Austria."""
1786,institute,"""Biological Resources Branch, National Institute of Allergy and Infectious Disease, National Institutes of Health, Bethesda, MD 20892."""
1787,hospital,"""Department of Neurooncology, University Hospital Heidelberg and National Center for Tumor Diseases, 69120 Heidelberg, Germany."""
1788,private,"""Sanquin, Amsterdam, The Netherlands."""
1789,institute,"""Koch Institute at MIT, Cambridge, United States."""
1790,private,"""Immunotope, Inc., Doylestown, PA 18902, USA."""
1791,institute,"""Dept. of Molecular Biology, Rajendra Memorial Research Institute of Medical Sciences, Patna, 800007, India."""
1792,institute,"""CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of Microbiology, Chinese Academy of Sciences (CAS), Beijing, China."""
1793,private,"""Clinical Cooperation Unit Translational Immunology, German Cancer Consortium (DKTK), DKFZ partner site T\xc3\xbcbingen, T\xc3\xbcbingen, Germany."""
1794,university,"""From the University of Maryland Institute for Bioscience and Biotechnology Research, W. M. Keck Laboratory for Structural Biology, Rockville, Maryland 20850, Department of Cell Biology and Molecular Genetics, University of Maryland, College Park, Maryland 20742, rmariuzz@umd.edu."""
1795,institute,"""Laboratory of Tumor Cell Biology, National Institutes of Health, Bethesda, Maryland 20892, USA."""
1796,private,"""Seqirus, Parkville, Victoria, Australia."""
1797,institute,"""Parker Institute for Cancer Immunotherapy, New York, NY, USA. chandrs1@mskcc.org."""
1798,hospital,"""Laboratory of Molecular Neuro-Oncology, Department of Neurology, Clinical Neuroscience Center, University Hospital Zurich and University of Zurich, Frauenklinikstrasse 26, 8091, Zurich, Switzerland."""
1799,university,"""From the Departments of Immunohematology and Blood Transfusion and."""
1800,institute,"""Cancer Research UK Institute for Cancer Studies, Edgbaston, Birmingham B15 2TT, United Kingdom."""
1801,university,"""Australian Research Council Centre of Excellence for Advanced Molecular Imaging, Monash University, Clayton, VIC, 3800, Australia. jamie.rossjohn@monash.edu."""
1802,university,"""Nuffield Department of Medicine, University of Oxford, Oxford, United Kingdom."""
1803,university,"""Department of Infectious Diseases, Sahlgrenska Academy, University of Gothenburg, S-413 46 Gothenburg, Sweden."""
1804,private,"""Immunitrack, Copenhagen, Denmark."""
1805,private,"""Vaccine Research Unit, Pfizer Global Research and Development, Sandwich, Kent, CT13-9NJ, UK. paul.cockle@pfizer.com."""
1806,university,"""Center for Systems Medicine, Institute of Basic Medical Sciences, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, China."""
1807,institute,"""NHC Key Laboratory of Medical Virology and Viral Diseases, National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, Beijing, China."""
1808,university,"""Institut f\xc3\xbcr Kristallographie, Freie Universit\xc3\xa4t Berlin, 14195 Berlin, Germany."""
1809,university,"""Department of Environment and Prevention Sciences, University of Ferrara, 44123 Ferrara, Italy."""
1810,private,"""Netherlands Proteomics Centre, Padualaan 8, 3584 CH Utrecht, The Netherlands."""
1811,university,"""Department of Chemistry and Biochemistry and the Harper Cancer Research Institute, University of Notre Dame, Notre Dame, IN, USA."""
1812,university,"""Department of Microbiology, Tumor and Cell Biology, Karolinska Institute, Stockholm, Sweden."""
1813,university,"""School of Life Sciences, Zhengzhou University, Zhengzhou, 450001, China. yahongwu@zzu.edu.cn."""
1814,university,"""Liver Unit, Cl\xc3\xadnica Universidad de Navarra, Pamplona, Spain."""
1815,institute,"""Translational Research Program, Benaroya Research Institute, Seattle, Washington, United States of America."""
1816,private,"""Deepdene Surgery, Deepdene, VIC, 3103, Australia."""
1817,private,"""Animal Facility, Istituto Nazionale per lo Studio e la Cura dei Tumori, &quot;Fondazione Pascale&quot;-IRCCS, 80131, Naples, Italy."""
1818,institute,"""Division of Inflammation Biology, La Jolla Institute for Allergy and Immunology, La Jolla, CA, United States."""
1819,university,"""Centre for Cancer Immunology and Institute for Life Sciences, Faculty of Medicine, University of Southampton, Southampton SO16 6YD, UK."""
1820,institute,"""Division of Immunology, Aichi Cancer Center Research Institute, 1-1 Kanokoden, Chikusa-ku, Nagoya 464-8681, Japan."""
1821,university,"""Department of Surgery, University of Chicago, Chicago, Illinois, USA; Department of Surgery, Yale University School of Medicine, New Haven, Connecticut, USA;"""
1822,hospital,"""Department of Neuroscience, Central Clinical School, Alfred Hospital, Monash University, Melbourne, VIC, Australia."""
1823,university,"""Molecular and Integrative Neurosciences Department, The Scripps Research Institute, SP30-2020, 10550 North Torrey Pines Road, La Jolla, CA 92037, USA. jbotten@scripps.edu"""
1824,institute,"""Surgery Branch, National Cancer Institute, NIH, Bethesda, Maryland 20892-1502, USA. Maria_Parkhurst@nih.gov"""
1825,private,"""Hubei Provincial Center for Disease Control and Prevention, Wuhan, Hubei, China."""
1826,university,"""Department of Medicine, University of Vermont College of Medicine, Burlington, VT 05405, USA. jbotten@uvm.edu"""
1827,private,"""Immunology and Microbial Pathogenesis Program, Weill Cornell Medicine, New York, NY."""
1828,university,"""Department of Surgery, University of Chicago, Chicago, Illinois, USA;"""
1829,university,"""School of Biochemistry, University of Bristol, Biomedical Sciences Building, University Walk, Bristol, BS8 1TD, UK."""
1830,institute,"""Broad Institute of MIT and Harvard, Cambridge, MA, USA. derin_keskin@dfci.harvard.edu."""
1831,university,"""Department of Collaboration and Education, Hokkaido University Research Center for Zoonosis Control, Sapporo, Japan."""
1832,university,"""Department of Biology, Technion, Israel Institute of Technology, 32000, Haifa , Israel. admon@tx.technion.ac.il."""
1833,university,"""From the \xe2\x80\xa1Ludwig Institute for Cancer Research, University of Lausanne, 1066 Epalinges, Switzerland."""
1834,hospital,"""Liver Research Unit, Chang Gung Memorial Hospital, Chang Gung University College of Medicine, Taipei, Taiwan."""
1835,university,"""Cardiff University School of Medicine, Heath Park, Cardiff, United Kingdom."""
1836,university,"""Infection and Immunity Program and the Department of Biochemistry and Molecular Biology, Biomedicine Discovery Institute, Monash University, Clayton, Victoria 3800, Australia."""
1837,hospital,"""Vaccine and Immunotherapy Center, Massachusetts General Hospital, Boston, MA, United States."""
1838,institute,"""Division of Parasitic Diseases, National Center for Infectious Diseases, Centers for Disease Control and Prevention, Atlanta, GA 30341-3724, USA. Kumar@FORM-NET.COM"""
1839,hospital,"""Endocrinology Division, Linyi People&#x27;s Hospital, Linyi 276000, China. shufali@163.com"""
1840,university,"""Department of Health Technology, Technical University of Denmark, 2800, Lyngby, Denmark."""
1841,university,"""KG Jebsen Centre for Autoimmune Diseases, University of Bergen, Bergen, Norway."""
1842,university,"""Infection and Immunity Program and Department of Biochemistry and Molecular Biology, Biomedicine Discovery Institute, Monash University, Clayton, VIC, 3800, Australia."""
1843,institute,"""Institute of Biophysics, Chinese Academy of Sciences, Beijing, China."""
1844,university,"""Department of Chemistry and Chemical Engineering, California Institute of Technology, Pasadena, CA 91125, USA; Materials and Process Simulation Center, California Institute of Technology, Pasadena, CA 91125, USA; Institute for Systems Biology, Seattle, WA 98109, USA."""
1845,university,"""Institute for Transfusion Medicine, Hannover Medical School, Carl-Neuberg-Str. 1, 30625 Hannover, Germany."""
1846,university,"""Department of Pediatrics, University of Colorado Denver School of Medicine, Aurora, CO, 80045, USA."""
1847,university,"""Laboratory of Applied Structural Biology, Division of Applied Life Sciences, Graduate School of Agriculture, Kyoto University, Gokasho, Uji, Kyoto 611-0011, Japan."""
1848,university,"""Griffith University, Brisbane, Queensland, Australia."""
1849,university,"""Jake Gittlen Cancer Research Foundation, Department of Pathology, Pennsylvania State University college of medicine, Hershey, PA 17033, USA."""
1850,institute,"""Dendritic Cell Program, Mater Medical Research Institute, Level 3 Aubigny Place, South Brisbane, QLD, 4101, Australia."""
1851,university,"""Department of Immunology, Weifang Medical University, Weifang, China."""
1852,institute,"""Institut de Recerca Sant Joan de Deu, Barcelona, Spain."""
1853,university,"""Department of Microbiology and Immunology, City University of New York Medical School, New York, NY 10031, USA."""
1854,university,"""Klinik und Poliklinik f\xc3\xbcr Innere Medizin III, Klinikum rechts der Isar der Technischen Universit\xc3\xa4t M\xc3\xbcnchen, M\xc3\xbcnchen, Germany angela.krackhardt@tum.de."""
1855,university,"""Pharmacology Division, Department of Urology, Transplantation Unit, National Cancer Center, Chuo-ku, Tokyo, Japan."""
1856,university,"""Dermatology Unit, NESMOS Department, Sapienza University of Rome, 00100 Rome, Italy."""
1857,university,"""Immunology and Immunotherapy, Centro de Investigaci\xc3\xb3n M\xc3\xa9dica Aplicada (CIMA), Universidad de Navarra, Pamplona, Spain."""
1858,university,"""Department of Microbiology and Immunology, University of Melbourne, 3010, Melbourne, Vic., Australia."""
1859,private,"""From the Division for Cell Biology and."""
1860,university,"""Division of Infection and Immunity, School of Medicine, Cardiff University, UK."""
1861,university,"""Department of Immunology, Institute of Cell Biology, University of Tuebingen, Tuebingen, Germany."""
1862,university,"""Department of Molecular Oncology &amp; Immunology, Oncode Institute, The Netherlands Cancer Institute, Amsterdam, the Netherlands."""
